Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,MIBR,8,0,1,0,11,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Ascent,Leviatán,11,1,1,0,8,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Icebox,MIBR,4,2,1,0,8,1,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,MIBR vs Leviatán,Icebox,Leviatán,8,1,4,0,4,2,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Sentinels vs NRG Esports,Lotus,Sentinels,10,1,2,0,3,2,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Sentinels vs NRG Esports,Lotus,NRG Esports,3,2,3,0,10,1,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Sentinels vs NRG Esports,Sunset,Sentinels,11,2,1,0,7,3,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Sentinels vs NRG Esports,Sunset,NRG Esports,7,3,2,0,11,2,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,FURIA vs 100 Thieves,Icebox,FURIA,11,0,2,1,10,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,FURIA vs 100 Thieves,Icebox,100 Thieves,10,1,1,0,11,0,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,FURIA vs 100 Thieves,Haven,FURIA,11,2,3,0,10,2,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,FURIA vs 100 Thieves,Haven,100 Thieves,10,2,2,0,11,2,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Lotus,LOUD,9,2,2,0,5,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Lotus,Evil Geniuses,5,1,1,0,9,2,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Sunset,LOUD,3,0,3,0,7,3,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Sunset,Evil Geniuses,7,3,3,0,3,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Icebox,LOUD,8,0,3,0,8,1,3,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,LOUD vs Evil Geniuses,Icebox,Evil Geniuses,8,1,3,1,8,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Ascent,G2 Esports,10,0,2,1,7,0,3,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Ascent,Cloud9,7,0,3,1,10,0,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Icebox,G2 Esports,2,2,1,0,7,3,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Icebox,Cloud9,7,3,3,0,2,2,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Lotus,G2 Esports,5,2,5,1,5,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,G2 Esports vs Cloud9,Lotus,Cloud9,5,0,3,0,5,2,5,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs FURIA,Bind,Evil Geniuses,8,2,2,1,1,1,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs FURIA,Bind,FURIA,1,1,3,0,8,2,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs FURIA,Lotus,Evil Geniuses,8,0,5,0,3,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs FURIA,Lotus,FURIA,3,0,1,0,8,0,5,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,Lotus,Sentinels,6,3,4,0,6,2,1,2
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,Lotus,KRÜ Esports,6,2,1,2,6,3,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,Split,Sentinels,5,4,2,2,7,1,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs KRÜ Esports,Split,KRÜ Esports,7,1,2,0,5,4,2,2
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Ascent,LOUD,7,0,5,1,3,2,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Ascent,MIBR,3,2,2,0,7,0,5,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Lotus,LOUD,3,4,4,0,9,0,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Lotus,MIBR,9,0,4,0,3,4,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Sunset,LOUD,7,1,4,1,7,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs MIBR,Sunset,MIBR,7,1,1,0,7,1,4,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,Bind,Leviatán,11,1,1,0,3,1,5,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,Bind,100 Thieves,3,1,5,1,11,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,Haven,Leviatán,10,0,3,0,3,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Leviatán vs 100 Thieves,Haven,100 Thieves,3,0,1,0,10,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,Haven,NRG Esports,2,2,3,0,7,4,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,Haven,G2 Esports,7,4,2,0,2,2,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,Bind,NRG Esports,5,2,1,0,7,4,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs G2 Esports,Bind,G2 Esports,7,4,2,0,5,2,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Haven,Sentinels,8,3,2,0,2,0,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Haven,Cloud9,2,0,2,1,8,3,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Split,Sentinels,8,2,2,1,5,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Sentinels vs Cloud9,Split,Cloud9,5,0,3,0,8,2,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Icebox,Evil Geniuses,3,2,0,0,9,0,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Icebox,Leviatán,9,0,4,0,3,2,0,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Sunset,Evil Geniuses,5,2,3,0,8,2,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Evil Geniuses vs Leviatán,Sunset,Leviatán,8,2,3,0,5,2,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Haven,LOUD,9,2,2,0,7,1,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Haven,FURIA,7,1,2,1,9,2,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Icebox,LOUD,7,0,3,0,7,0,6,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Icebox,FURIA,7,0,6,0,7,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Bind,LOUD,6,1,2,0,8,2,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,LOUD vs FURIA,Bind,FURIA,8,2,3,0,6,1,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,Icebox,MIBR,4,0,1,0,9,0,3,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,Icebox,100 Thieves,9,0,3,1,4,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,Split,MIBR,1,1,4,0,10,1,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,MIBR vs 100 Thieves,Split,100 Thieves,10,1,2,0,1,1,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Split,NRG Esports,5,0,2,1,8,1,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Split,KRÜ Esports,8,1,4,0,5,0,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Ascent,NRG Esports,12,0,1,0,7,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Ascent,KRÜ Esports,7,0,1,0,12,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Sunset,NRG Esports,9,1,2,1,5,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,NRG Esports vs KRÜ Esports,Sunset,KRÜ Esports,5,1,1,0,9,1,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,Lotus,G2 Esports,0,1,3,0,11,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,Lotus,KRÜ Esports,11,1,1,0,0,1,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,Ascent,G2 Esports,6,3,7,0,10,1,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,Ascent,KRÜ Esports,10,1,3,0,6,3,7,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,Split,G2 Esports,8,2,1,2,4,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,G2 Esports vs KRÜ Esports,Split,KRÜ Esports,4,0,1,0,8,2,1,2
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,LOUD vs Leviatán,Lotus,LOUD,6,1,3,1,9,0,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,LOUD vs Leviatán,Lotus,Leviatán,9,0,4,0,6,1,3,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,LOUD vs Leviatán,Icebox,LOUD,4,1,1,0,7,1,5,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,LOUD vs Leviatán,Icebox,Leviatán,7,1,5,0,4,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,MIBR vs FURIA,Sunset,MIBR,8,0,1,1,8,1,4,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,MIBR vs FURIA,Sunset,FURIA,8,1,4,0,8,0,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,MIBR vs FURIA,Icebox,MIBR,5,0,2,0,7,1,4,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,MIBR vs FURIA,Icebox,FURIA,7,1,4,1,5,0,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,Ascent,NRG Esports,7,4,2,0,2,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,Ascent,Cloud9,2,0,1,0,7,4,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,Icebox,NRG Esports,6,3,1,0,11,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,Icebox,Cloud9,11,1,1,0,6,3,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,Sunset,NRG Esports,7,3,2,0,7,2,5,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,NRG Esports vs Cloud9,Sunset,Cloud9,7,2,5,0,7,3,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,Lotus,Evil Geniuses,7,0,3,0,10,1,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,Lotus,100 Thieves,10,1,2,0,7,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,Bind,Evil Geniuses,6,2,5,0,8,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,Bind,100 Thieves,8,1,1,0,6,2,5,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,Ascent,Evil Geniuses,6,0,1,0,13,0,0,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Evil Geniuses vs 100 Thieves,Ascent,100 Thieves,13,0,0,0,6,0,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Cloud9 vs KRÜ Esports,Icebox,Cloud9,1,1,5,0,9,1,2,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Cloud9 vs KRÜ Esports,Icebox,KRÜ Esports,9,1,2,1,1,1,5,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Cloud9 vs KRÜ Esports,Split,Cloud9,7,1,1,1,7,3,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Cloud9 vs KRÜ Esports,Split,KRÜ Esports,7,3,3,0,7,1,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Evil Geniuses vs MIBR,Bind,Evil Geniuses,7,1,1,0,7,1,5,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Evil Geniuses vs MIBR,Bind,MIBR,7,1,5,0,7,1,1,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Evil Geniuses vs MIBR,Lotus,Evil Geniuses,0,0,2,0,10,1,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Evil Geniuses vs MIBR,Lotus,MIBR,10,1,2,0,0,0,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Leviatán vs FURIA,Sunset,Leviatán,12,1,0,0,2,1,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Leviatán vs FURIA,Sunset,FURIA,2,1,3,0,12,1,0,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Leviatán vs FURIA,Icebox,Leviatán,10,0,3,0,4,2,0,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Leviatán vs FURIA,Icebox,FURIA,4,2,0,0,10,0,3,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,Ascent,LOUD,1,0,0,0,13,0,0,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,Ascent,100 Thieves,13,0,0,0,1,0,0,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,Bind,LOUD,8,3,2,0,5,1,1,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,Bind,100 Thieves,5,1,1,1,8,3,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,Lotus,LOUD,8,1,3,1,5,3,2,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,LOUD vs 100 Thieves,Lotus,100 Thieves,5,3,2,0,8,1,3,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Sentinels vs G2 Esports,Bind,Sentinels,4,2,0,0,7,0,6,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Sentinels vs G2 Esports,Bind,G2 Esports,7,0,6,0,4,2,0,0
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Sentinels vs G2 Esports,Lotus,Sentinels,5,0,4,0,3,3,6,1
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Sentinels vs G2 Esports,Lotus,G2 Esports,3,3,6,1,5,0,4,0
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,Abyss,KRÜ Esports,8,2,3,0,2,3,5,1
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,Abyss,Cloud9,2,3,5,1,8,2,3,0
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,Lotus,KRÜ Esports,9,2,0,0,12,1,0,0
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,Lotus,Cloud9,12,1,0,0,9,2,0,0
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,Haven,KRÜ Esports,8,0,5,0,3,1,2,0
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,KRÜ Esports vs Cloud9,Haven,Cloud9,3,1,2,0,8,0,5,0
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Sentinels vs 100 Thieves,Haven,Sentinels,3,1,3,0,9,3,1,0
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Sentinels vs 100 Thieves,Haven,100 Thieves,9,3,1,0,3,1,3,0
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Sentinels vs 100 Thieves,Ascent,Sentinels,6,3,0,1,9,1,3,0
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Sentinels vs 100 Thieves,Ascent,100 Thieves,9,1,3,0,6,3,0,1
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,Leviatán vs KRÜ Esports,Icebox,Leviatán,8,0,5,0,2,0,0,0
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,Leviatán vs KRÜ Esports,Icebox,KRÜ Esports,2,0,0,0,8,0,5,0
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,Leviatán vs KRÜ Esports,Sunset,Leviatán,10,0,2,1,3,1,0,0
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,Leviatán vs KRÜ Esports,Sunset,KRÜ Esports,3,1,0,0,10,0,2,1
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,G2 Esports vs 100 Thieves,Lotus,G2 Esports,9,0,3,1,4,1,0,0
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,G2 Esports vs 100 Thieves,Lotus,100 Thieves,4,1,0,0,9,0,3,1
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,G2 Esports vs 100 Thieves,Abyss,G2 Esports,5,2,6,0,6,1,3,0
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,G2 Esports vs 100 Thieves,Abyss,100 Thieves,6,1,3,0,5,2,6,0
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Final,Leviatán vs G2 Esports,Icebox,Leviatán,7,0,1,0,9,3,1,0
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Final,Leviatán vs G2 Esports,Icebox,G2 Esports,9,3,1,0,7,0,1,0
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Final,Leviatán vs G2 Esports,Bind,Leviatán,5,0,1,0,9,2,2,0
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Final,Leviatán vs G2 Esports,Bind,G2 Esports,9,2,2,0,5,0,1,0
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,Icebox,KRÜ Esports,4,0,4,1,12,1,0,0
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,Icebox,100 Thieves,12,1,0,0,4,0,4,1
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,Lotus,KRÜ Esports,9,1,3,0,8,2,1,0
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,Lotus,100 Thieves,8,2,1,0,9,1,3,0
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,Ascent,KRÜ Esports,5,2,5,1,8,1,2,0
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,KRÜ Esports vs 100 Thieves,Ascent,100 Thieves,8,1,2,0,5,2,5,1
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,Icebox,Leviatán,8,3,2,0,3,0,0,0
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,Icebox,KRÜ Esports,3,0,0,0,8,3,2,0
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,Haven,Leviatán,7,1,3,0,6,1,6,0
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,Haven,KRÜ Esports,6,1,6,0,7,1,3,0
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,Sunset,Leviatán,4,2,1,0,10,1,1,1
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,Sunset,KRÜ Esports,10,1,1,1,4,2,1,0
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,Abyss,Leviatán,8,0,3,2,5,0,5,0
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,Abyss,KRÜ Esports,5,0,5,0,8,0,3,2
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,Ascent,Leviatán,11,1,1,0,6,2,2,0
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Final,Leviatán vs KRÜ Esports,Ascent,KRÜ Esports,6,2,2,0,11,1,1,0
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,Lotus,G2 Esports,6,4,1,2,11,2,2,0
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,Lotus,Leviatán,11,2,2,0,6,4,1,2
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,Haven,G2 Esports,7,1,6,0,10,0,6,0
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,Haven,Leviatán,10,0,6,0,7,1,6,0
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,Bind,G2 Esports,5,1,7,0,2,0,7,0
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,Bind,Leviatán,2,0,7,0,5,1,7,0
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,Ascent,G2 Esports,0,0,3,1,12,0,1,0
Champions Tour 2024: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs Leviatán,Ascent,Leviatán,12,0,1,0,0,0,3,1
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Titan Esports Club vs JDG Esports,Icebox,Titan Esports Club,9,0,3,0,8,2,2,2
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Titan Esports Club vs JDG Esports,Icebox,JDG Esports,8,2,2,2,9,0,3,0
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Titan Esports Club vs JDG Esports,Lotus,Titan Esports Club,9,0,2,0,6,3,4,0
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Titan Esports Club vs JDG Esports,Lotus,JDG Esports,6,3,4,0,9,0,2,0
Champions Tour 2024: China Stage 2,Regular Season,Week 1,All Gamers vs TYLOO,Sunset,All Gamers,9,2,2,0,7,0,3,0
Champions Tour 2024: China Stage 2,Regular Season,Week 1,All Gamers vs TYLOO,Sunset,TYLOO,7,0,3,0,9,2,2,0
Champions Tour 2024: China Stage 2,Regular Season,Week 1,All Gamers vs TYLOO,Icebox,All Gamers,11,1,1,0,2,0,2,0
Champions Tour 2024: China Stage 2,Regular Season,Week 1,All Gamers vs TYLOO,Icebox,TYLOO,2,0,2,0,11,1,1,0
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Bilibili Gaming vs Wolves Esports,Sunset,Bilibili Gaming,9,0,3,1,2,1,2,0
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Bilibili Gaming vs Wolves Esports,Sunset,Wolves Esports,2,1,2,0,9,0,3,1
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Bilibili Gaming vs Wolves Esports,Bind,Bilibili Gaming,8,0,4,1,4,0,3,0
Champions Tour 2024: China Stage 2,Regular Season,Week 1,Bilibili Gaming vs Wolves Esports,Bind,Wolves Esports,4,0,3,0,8,0,4,1
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Ascent,Dragon Ranger Gaming,13,0,0,0,4,0,2,1
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Ascent,Nova Esports,4,0,2,1,13,0,0,0
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Lotus,Dragon Ranger Gaming,8,1,3,0,12,1,1,0
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Lotus,Nova Esports,12,1,1,0,8,1,3,0
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Sunset,Dragon Ranger Gaming,2,1,2,0,9,2,2,0
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Dragon Ranger Gaming vs Nova Esports,Sunset,Nova Esports,9,2,2,0,2,1,2,0
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,Haven,FunPlus Phoenix,9,2,2,0,3,1,1,0
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,Haven,Trace Esports,3,1,1,0,9,2,2,0
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,Lotus,FunPlus Phoenix,8,1,4,0,12,0,3,0
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,Lotus,Trace Esports,12,0,3,0,8,1,4,0
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,Sunset,FunPlus Phoenix,6,0,0,0,9,2,2,0
Champions Tour 2024: China Stage 2,Regular Season,Week 2,FunPlus Phoenix vs Trace Esports,Sunset,Trace Esports,9,2,2,0,6,0,0,0
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Titan Esports Club vs All Gamers,Sunset,Titan Esports Club,8,1,0,1,12,1,0,0
Champions Tour 2024: China Stage 2,Regular Season,Week 2,Titan Esports Club vs All Gamers,Sunset,All Gamers,12,1,0,0,8,1,0,1
