Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,T1 vs ZETA DIVISION,Sunset,T1,13,6,7,,ZETA DIVISION,10,4,6,,49:36
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Team Secret vs Talon Esports,Sunset,Team Secret,13,3,10,,Talon Esports,11,2,9,,1:00:53
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Team Secret vs Talon Esports,Lotus,Team Secret,11,5,6,,Talon Esports,13,6,7,,56:09
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Team Secret vs Talon Esports,Breeze,Team Secret,10,7,3,,Talon Esports,13,8,5,,52:49
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,BLEED vs DRX,Bind,BLEED,9,5,4,,DRX,13,6,7,,1:02:13
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,BLEED vs DRX,Breeze,BLEED,4,2,2,,DRX,13,3,10,,40:37
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Gen.G vs Rex Regum Qeon,Breeze,Gen.G,13,11,2,,Rex Regum Qeon,3,2,1,,42:51
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Gen.G vs Rex Regum Qeon,Ascent,Gen.G,11,6,5,,Rex Regum Qeon,13,7,6,,58:52
Champions Tour 2024: Pacific Stage 1,Regular Season,Week 4,Gen.G vs Rex Regum Qeon,Split,Gen.G,10,5,5,,Rex Regum Qeon,13,6,7,,59:20
Champions Tour 2024: Pacific Stage 1,Playoffs,Knockout Round,Team Secret vs T1,Lotus,Team Secret,7,5,2,,T1,13,6,7,,51:57
Champions Tour 2024: Pacific Stage 1,Playoffs,Knockout Round,Team Secret vs T1,Sunset,Team Secret,11,9,2,,T1,13,10,3,,48:52
Champions Tour 2024: Pacific Stage 1,Playoffs,Knockout Round,Paper Rex vs Talon Esports,Lotus,Paper Rex,13,12,1,,Talon Esports,0,0,0,,32:57
Champions Tour 2024: Pacific Stage 1,Playoffs,Knockout Round,Paper Rex vs Talon Esports,Sunset,Paper Rex,13,10,3,,Talon Esports,9,7,2,,48:57
Champions Tour 2024: Pacific Stage 1,Playoffs,Knockout Round,Paper Rex vs Talon Esports,Bind,Paper Rex,7,3,4,,Talon Esports,13,4,9,,43:47
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,Gen.G vs T1,Ascent,Gen.G,9,3,6,,T1,13,4,9,,1:02:04
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,Gen.G vs T1,Sunset,Gen.G,13,6,7,,T1,8,2,6,,42:54
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,Gen.G vs T1,Breeze,Gen.G,7,4,3,,T1,13,5,8,,45:28
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,DRX vs Paper Rex,Lotus,DRX,6,4,2,,Paper Rex,13,5,8,,41:45
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,DRX vs Paper Rex,Ascent,DRX,13,5,8,,Paper Rex,10,3,7,,48:53
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Semifinals,DRX vs Paper Rex,Bind,DRX,6,4,2,,Paper Rex,13,5,8,,39:44
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Final,T1 vs Paper Rex,Lotus,T1,3,1,2,,Paper Rex,13,2,11,,58:46
Champions Tour 2024: Pacific Stage 1,Playoffs,Upper Final,T1 vs Paper Rex,Sunset,T1,5,2,3,,Paper Rex,13,3,10,,35:05
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Round 1,Gen.G vs DRX,Bind,Gen.G,8,6,2,,DRX,13,7,6,,55:20
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Round 1,Gen.G vs DRX,Sunset,Gen.G,13,4,9,,DRX,11,3,8,,53:23
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Round 1,Gen.G vs DRX,Ascent,Gen.G,13,8,5,,DRX,8,4,4,,53:16
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Final,T1 vs Gen.G,Lotus,T1,2,2,0,,Gen.G,13,3,10,,42:10
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Final,T1 vs Gen.G,Icebox,T1,11,4,7,,Gen.G,13,5,8,,45:46
Champions Tour 2024: Pacific Stage 1,Playoffs,Lower Final,T1 vs Gen.G,Bind,T1,9,5,4,,Gen.G,13,6,7,,48:26
Champions Tour 2024: Pacific Stage 1,Playoffs,Grand Final,Paper Rex vs Gen.G,Lotus,Paper Rex,9,6,3,,Gen.G,13,7,6,,1:03:03
Champions Tour 2024: Pacific Stage 1,Playoffs,Grand Final,Paper Rex vs Gen.G,Sunset,Paper Rex,13,7,6,,Gen.G,9,4,5,,45:51
Champions Tour 2024: Pacific Stage 1,Playoffs,Grand Final,Paper Rex vs Gen.G,Icebox,Paper Rex,13,7,6,,Gen.G,11,6,5,,52:44
Champions Tour 2024: Pacific Stage 1,Playoffs,Grand Final,Paper Rex vs Gen.G,Bind,Paper Rex,9,6,3,,Gen.G,13,7,6,,45:57
Champions Tour 2024: Pacific Stage 1,Playoffs,Grand Final,Paper Rex vs Gen.G,Split,Paper Rex,13,5,8,,Gen.G,8,1,7,,45:13
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Icebox,Karmine Corp,13,7,6,,FunPlus Phoenix,8,3,5,,59:51
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Karmine Corp vs FunPlus Phoenix,Lotus,Karmine Corp,13,4,9,,FunPlus Phoenix,10,2,8,,52:09
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Icebox,Gen.G,13,6,7,,LOUD,11,5,6,,1:02:44
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Breeze,Gen.G,8,3,5,,LOUD,13,4,9,,56:26
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Gen.G vs LOUD,Ascent,Gen.G,13,9,4,,LOUD,5,2,3,,38:16
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Sunset,EDward Gaming,8,3,5,,Paper Rex,13,4,9,,1:00:56
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Bind,EDward Gaming,13,8,5,,Paper Rex,9,5,4,,49:11
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,EDward Gaming vs Paper Rex,Split,EDward Gaming,13,8,5,,Paper Rex,9,5,4,,43:49
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Lotus,Sentinels,13,4,9,,Team Heretics,9,1,8,,1:00:37
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Sunset,Sentinels,5,4,1,,Team Heretics,13,5,8,,44:43
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 1,Sentinels vs Team Heretics,Bind,Sentinels,13,6,7,,Team Heretics,11,5,6,,55:14
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Split,Sentinels,13,6,7,,Karmine Corp,8,2,6,,57:04
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Sentinels vs Karmine Corp,Lotus,Sentinels,13,7,6,,Karmine Corp,11,6,5,,56:49
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Icebox,EDward Gaming,13,8,5,,Gen.G,8,4,4,,55:41
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Split,EDward Gaming,5,5,0,,Gen.G,13,6,7,,39:50
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,EDward Gaming vs Gen.G,Breeze,EDward Gaming,6,1,5,,Gen.G,13,2,11,,45:16
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,FunPlus Phoenix vs LOUD,Sunset,FunPlus Phoenix,5,4,1,,LOUD,13,5,8,,42:32
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,FunPlus Phoenix vs LOUD,Breeze,FunPlus Phoenix,11,7,4,,LOUD,13,8,5,,53:05
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Team Heretics vs Paper Rex,Sunset,Team Heretics,10,6,4,,Paper Rex,13,7,6,,59:31
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Team Heretics vs Paper Rex,Lotus,Team Heretics,13,7,6,,Paper Rex,10,5,5,,46:56
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 2,Team Heretics vs Paper Rex,Split,Team Heretics,7,6,1,,Paper Rex,13,7,6,,39:37
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,LOUD vs EDward Gaming,Icebox,LOUD,13,11,2,,EDward Gaming,2,1,1,,43:42
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,LOUD vs EDward Gaming,Sunset,LOUD,13,9,4,,EDward Gaming,3,0,3,,35:21
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Karmine Corp vs Paper Rex,Bind,Karmine Corp,10,4,6,,Paper Rex,13,5,8,,59:49
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Karmine Corp vs Paper Rex,Lotus,Karmine Corp,13,8,5,,Paper Rex,6,2,4,,42:56
Champions Tour 2024: Masters Madrid,Swiss Stage,Round 3,Karmine Corp vs Paper Rex,Ascent,Karmine Corp,12,7,5,0,Paper Rex,14,7,5,2,53:41
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Gen.G vs Paper Rex,Split,Gen.G,13,8,5,,Paper Rex,8,4,4,,55:37
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Gen.G vs Paper Rex,Lotus,Gen.G,13,8,5,,Paper Rex,9,5,4,,42:42
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sentinels vs LOUD,Split,Sentinels,13,9,4,,LOUD,4,1,3,,48:34
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sentinels vs LOUD,Icebox,Sentinels,12,5,7,0,LOUD,14,5,7,2,59:35
Champions Tour 2024: Masters Madrid,Playoffs,Upper Semifinals,Sentinels vs LOUD,Sunset,Sentinels,14,7,5,2,LOUD,12,7,5,0,1:02:35
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Gen.G vs Sentinels,Split,Gen.G,13,8,5,,Sentinels,5,1,4,,53:39
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Gen.G vs Sentinels,Lotus,Gen.G,7,5,2,,Sentinels,13,6,7,,48:49
Champions Tour 2024: Masters Madrid,Playoffs,Upper Final,Gen.G vs Sentinels,Breeze,Gen.G,13,9,4,,Sentinels,3,0,3,,34:04
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,Paper Rex vs LOUD,Ascent,Paper Rex,13,6,7,,LOUD,11,5,6,,1:00:58
Champions Tour 2024: Masters Madrid,Playoffs,Lower Round 1,Paper Rex vs LOUD,Sunset,Paper Rex,13,7,6,,LOUD,8,3,5,,46:09
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Lotus,Sentinels,14,6,6,2,Paper Rex,12,6,6,0,1:12:27
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Ascent,Sentinels,13,6,7,,Paper Rex,6,0,6,,41:11
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Split,Sentinels,5,4,1,,Paper Rex,13,5,8,,38:13
Champions Tour 2024: Masters Madrid,Playoffs,Lower Final,Sentinels vs Paper Rex,Sunset,Sentinels,13,9,4,,Paper Rex,3,0,3,,33:56
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Breeze,Gen.G,13,7,6,,Sentinels,8,3,5,,1:03:12
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Bind,Gen.G,12,6,6,0,Sentinels,14,6,6,2,1:04:16
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Ascent,Gen.G,13,6,7,,Sentinels,8,2,6,,46:25
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Split,Gen.G,10,4,6,,Sentinels,13,5,8,,49:51
Champions Tour 2024: Masters Madrid,Playoffs,Grand Final,Gen.G vs Sentinels,Icebox,Gen.G,6,5,1,,Sentinels,13,6,7,,42:05
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),NRG Esports vs FURIA,Breeze,NRG Esports,13,8,5,,FURIA,10,6,4,,55:08
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),NRG Esports vs FURIA,Ascent,NRG Esports,13,6,7,,FURIA,8,2,6,,48:14
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Cloud9 vs MIBR,Bind,Cloud9,13,5,8,,MIBR,11,4,7,,1:06:54
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Cloud9 vs MIBR,Split,Cloud9,8,6,2,,MIBR,13,7,6,,47:29
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (A),Cloud9 vs MIBR,Lotus,Cloud9,13,5,8,,MIBR,10,3,7,,57:07
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),LOUD vs Sentinels,Split,LOUD,13,4,9,,Sentinels,11,3,8,,1:12:09
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),LOUD vs Sentinels,Ascent,LOUD,13,5,8,,Sentinels,9,2,7,,51:45
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Leviatán vs 100 Thieves,Bind,Leviatán,13,7,6,,100 Thieves,9,4,5,,1:03:18
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Leviatán vs 100 Thieves,Split,Leviatán,3,3,0,,100 Thieves,13,4,9,,36:37
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Leviatán vs 100 Thieves,Icebox,Leviatán,13,7,6,,100 Thieves,11,6,5,,53:07
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),KRÜ Esports vs G2 Esports,Icebox,KRÜ Esports,13,6,7,,G2 Esports,9,3,6,,1:06:10
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),KRÜ Esports vs G2 Esports,Sunset,KRÜ Esports,9,6,3,,G2 Esports,13,7,6,,53:13
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (C),KRÜ Esports vs G2 Esports,Ascent,KRÜ Esports,11,7,4,,G2 Esports,13,8,5,,56:40
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),FURIA vs MIBR,Split,FURIA,9,7,2,,MIBR,13,8,5,,1:14:12
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (A),FURIA vs MIBR,Breeze,FURIA,11,8,3,,MIBR,13,9,4,,56:26
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Sentinels vs 100 Thieves,Lotus,Sentinels,13,9,4,,100 Thieves,5,2,3,,49:56
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Sentinels vs 100 Thieves,Bind,Sentinels,6,4,2,,100 Thieves,13,5,8,,44:57
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Sentinels vs 100 Thieves,Split,Sentinels,13,7,6,,100 Thieves,8,3,5,,45:29
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),NRG Esports vs Cloud9,Sunset,NRG Esports,13,8,5,,Cloud9,7,3,4,,1:00:41
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (A),NRG Esports vs Cloud9,Ascent,NRG Esports,14,5,7,2,Cloud9,12,5,7,0,58:34
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),LOUD vs Leviatán,Bind,LOUD,11,3,8,,Leviatán,13,4,9,,1:11:38
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),LOUD vs Leviatán,Split,LOUD,13,6,7,,Leviatán,10,4,6,,58:10
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (B),LOUD vs Leviatán,Ascent,LOUD,13,9,4,,Leviatán,7,4,3,,50:10
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),G2 Esports vs Evil Geniuses,Sunset,G2 Esports,13,8,4,1,Evil Geniuses,15,8,4,3,1:18:54
Champions Tour 2024: Americas Kickoff,Group Stage,Winner's (C),G2 Esports vs Evil Geniuses,Icebox,G2 Esports,11,5,6,,Evil Geniuses,13,6,7,,1:01:40
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Cloud9 vs MIBR,Bind,Cloud9,12,5,7,0,MIBR,14,5,7,2,1:16:03
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (A),Cloud9 vs MIBR,Ascent,Cloud9,9,5,4,,MIBR,13,6,7,,56:21
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Split,Leviatán,3,3,0,,Sentinels,13,4,9,,50:11
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Breeze,Leviatán,13,9,4,,Sentinels,6,3,3,,45:00
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (B),Leviatán vs Sentinels,Bind,Leviatán,9,6,3,,Sentinels,13,7,6,,52:54
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,Split,G2 Esports,13,7,6,,KRÜ Esports,8,3,5,,58:24
Champions Tour 2024: Americas Kickoff,Group Stage,Decider (C),G2 Esports vs KRÜ Esports,Sunset,G2 Esports,13,5,8,,KRÜ Esports,8,1,7,,45:29
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,Split,MIBR,7,2,5,,Sentinels,13,3,10,,1:01:27
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,MIBR vs Sentinels,Ascent,MIBR,6,5,1,,Sentinels,13,6,7,,45:03
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,Sunset,G2 Esports,9,6,3,,MIBR,13,7,6,,1:00:34
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,Split,G2 Esports,15,5,7,3,MIBR,13,5,7,1,1:08:34
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,G2 Esports vs MIBR,Breeze,G2 Esports,10,6,4,,MIBR,13,7,6,,59:07
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Sunset,Sentinels,13,4,9,,G2 Esports,8,0,8,,54:28
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Breeze,Sentinels,9,3,6,,G2 Esports,13,4,9,,47:08
Champions Tour 2024: Americas Kickoff,Play-Ins,Play-ins,Sentinels vs G2 Esports,Split,Sentinels,9,7,2,,G2 Esports,13,8,5,,52:50
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Ascent,Evil Geniuses,13,9,4,,LOUD,7,4,3,,58:24
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Icebox,Evil Geniuses,7,4,3,,LOUD,13,5,8,,47:45
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,Evil Geniuses vs LOUD,Sunset,Evil Geniuses,5,4,1,,LOUD,13,5,8,,40:45
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Sunset,NRG Esports,14,7,5,2,Sentinels,16,7,5,4,1:17:21
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Ascent,NRG Esports,13,8,5,,Sentinels,8,4,4,,53:29
Champions Tour 2024: Americas Kickoff,Playoffs,Semifinals,NRG Esports vs Sentinels,Split,NRG Esports,3,1,2,,Sentinels,13,2,11,,40:57
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Sunset,LOUD,9,4,5,,Sentinels,13,5,8,,1:11:51
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Split,LOUD,3,3,0,,Sentinels,13,4,9,,41:08
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Icebox,LOUD,13,8,5,,Sentinels,11,7,4,,53:28
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Bind,LOUD,13,9,4,,Sentinels,8,5,3,,51:03
Champions Tour 2024: Americas Kickoff,Playoffs,Grand Final,LOUD vs Sentinels,Lotus,LOUD,4,2,2,,Sentinels,13,3,10,,44:02
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,Ascent,Trace Esports,13,8,5,,TYLOO,4,0,4,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),Trace Esports vs TYLOO,Sunset,Trace Esports,13,11,2,,TYLOO,3,2,1,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,Lotus,FunPlus Phoenix,13,7,6,,Nova Esports,5,0,5,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (A),FunPlus Phoenix vs Nova Esports,Sunset,FunPlus Phoenix,13,7,6,,Nova Esports,10,5,5,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JDG Esports vs Titan Esports Club,Lotus,JDG Esports,8,6,2,,Titan Esports Club,13,7,6,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),JDG Esports vs Titan Esports Club,Bind,JDG Esports,14,8,4,2,Titan Esports Club,16,8,4,4,
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,Sunset,Dragon Ranger Gaming,13,5,8,,All Gamers,11,4,7,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Dragon Ranger Gaming vs All Gamers,Ascent,Dragon Ranger Gaming,13,9,4,,All Gamers,4,1,3,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Ascent,Bilibili Gaming,9,3,6,,Wolves Esports,13,4,9,,
Champions Tour 2024: China Kickoff,Group Stage,Opening (C),Bilibili Gaming vs Wolves Esports,Icebox,Bilibili Gaming,7,5,2,,Wolves Esports,13,6,7,,
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,Ascent,TYLOO,11,5,6,,Nova Esports,13,6,7,,
Champions Tour 2024: China Kickoff,Group Stage,Elimination (A),TYLOO vs Nova Esports,Split,TYLOO,11,5,6,,Nova Esports,13,6,7,,
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JDG Esports vs All Gamers,Icebox,JDG Esports,13,7,6,,All Gamers,11,6,5,,
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),JDG Esports vs All Gamers,Sunset,JDG Esports,13,6,7,,All Gamers,8,2,6,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Trace Esports vs FunPlus Phoenix,Sunset,Trace Esports,11,7,4,,FunPlus Phoenix,13,8,5,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Trace Esports vs FunPlus Phoenix,Bind,Trace Esports,13,8,5,,FunPlus Phoenix,11,7,4,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (A),Trace Esports vs FunPlus Phoenix,Lotus,Trace Esports,10,5,5,,FunPlus Phoenix,13,6,7,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Titan Esports Club vs Dragon Ranger Gaming,Icebox,Titan Esports Club,11,10,1,,Dragon Ranger Gaming,13,11,2,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Titan Esports Club vs Dragon Ranger Gaming,Split,Titan Esports Club,13,6,7,,Dragon Ranger Gaming,8,2,6,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (B),Titan Esports Club vs Dragon Ranger Gaming,Bind,Titan Esports Club,10,6,4,,Dragon Ranger Gaming,13,7,6,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Wolves Esports vs EDward Gaming,Bind,Wolves Esports,10,5,5,,EDward Gaming,13,6,7,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Wolves Esports vs EDward Gaming,Ascent,Wolves Esports,13,6,7,,EDward Gaming,10,4,6,,
Champions Tour 2024: China Kickoff,Group Stage,Winner's (C),Wolves Esports vs EDward Gaming,Breeze,Wolves Esports,11,7,4,,EDward Gaming,13,8,5,,
Champions Tour 2024: China Kickoff,Group Stage,Decider (A),Trace Esports vs Nova Esports,Split,Trace Esports,13,7,6,,Nova Esports,5,0,5,,
Champions Tour 2024: China Kickoff,Group Stage,Decider (A),Trace Esports vs Nova Esports,Lotus,Trace Esports,13,8,5,,Nova Esports,4,0,4,,
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Titan Esports Club vs JDG Esports,Bind,Titan Esports Club,5,4,1,,JDG Esports,13,5,8,,
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Titan Esports Club vs JDG Esports,Icebox,Titan Esports Club,14,7,5,2,JDG Esports,12,7,5,0,
Champions Tour 2024: China Kickoff,Group Stage,Decider (B),Titan Esports Club vs JDG Esports,Lotus,Titan Esports Club,13,6,7,,JDG Esports,10,4,6,,
Champions Tour 2024: China Kickoff,Group Stage,Decider (C),Wolves Esports vs Bilibili Gaming,Sunset,Wolves Esports,9,7,2,,Bilibili Gaming,13,8,5,,
Champions Tour 2024: China Kickoff,Group Stage,Decider (C),Wolves Esports vs Bilibili Gaming,Icebox,Wolves Esports,10,3,7,,Bilibili Gaming,13,4,9,,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Trace Esports vs Titan Esports Club,Breeze,Trace Esports,16,7,5,4,Titan Esports Club,18,7,5,6,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Trace Esports vs Titan Esports Club,Lotus,Trace Esports,13,10,3,,Titan Esports Club,6,4,2,,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Trace Esports vs Titan Esports Club,Split,Trace Esports,13,9,4,,Titan Esports Club,8,5,3,,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Titan Esports Club,Lotus,Bilibili Gaming,13,9,4,,Titan Esports Club,3,0,3,,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Titan Esports Club,Ascent,Bilibili Gaming,13,7,6,,Titan Esports Club,8,3,5,,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Trace Esports,Lotus,Bilibili Gaming,13,9,4,,Trace Esports,11,8,3,,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Trace Esports,Sunset,Bilibili Gaming,13,6,6,1,Trace Esports,15,6,6,3,
Champions Tour 2024: China Kickoff,Play-Ins,Round-Robin,Bilibili Gaming vs Trace Esports,Bind,Bilibili Gaming,12,4,8,0,Trace Esports,14,4,8,2,
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,FunPlus Phoenix vs Dragon Ranger Gaming,Ascent,FunPlus Phoenix,13,8,5,,Dragon Ranger Gaming,10,6,4,,
Champions Tour 2024: China Kickoff,Playoffs,Semifinals,FunPlus Phoenix vs Dragon Ranger Gaming,Breeze,FunPlus Phoenix,13,9,4,,Dragon Ranger Gaming,6,3,3,,
